integral,method,n,I_ref,I_num,rel_error
I4,Gauss-Radau,8,0.7965995992970532,,
I4,Gauss-Radau,16,0.7965995992970532,,
I4,Gauss-Radau,32,0.7965995992970532,,
I4,Fejer-I,4,0.7965995992970532,0.7966025158264846,3.661223824341267e-06
I4,Fejer-I,8,0.7965995992970532,0.7965995992979111,1.0770534584594724e-12
I4,Fejer-I,16,0.7965995992970532,0.7965995992970525,8.362216292387207e-16
I4,Fejer-I,32,0.7965995992970532,0.7965995992970529,2.787405430795736e-16
I4,Clenshaw-Curtis,4,0.7965995992970532,0.7965880891466358,1.4449103950710693e-05
I4,Clenshaw-Curtis,8,0.7965995992970532,0.7965995992963661,8.624232402882007e-13
I4,Clenshaw-Curtis,16,0.7965995992970532,0.7965995992970532,0.0
I4,Clenshaw-Curtis,32,0.7965995992970532,0.7965995992970529,2.787405430795736e-16
